GRADE,TYPE,MICROSTRUCTURE,COMPOSITION,TS (MPa),YS (MPa),EL (%),MART %,HV,IMPACT (J),STRETCH FLANGE,PRODUCER,REGION,PRODUCT TYPES,AHSS NAMING,DESCRIPTION
PH1500,PH,Martensitic (hot-formed),Press-hardened,~1500,~1250,~5,~98,470,25,Very Low,Baosteel,China,Hot-formed parts,PH1500,"Automobiles: mainstream PHS for B-pillars, door rings, bumper beams, roof rails, sill reinf.; excellent crash performance. Aircrafts: heavy-duty GSE beams. Marine: protected interior safety members. Machinery: hot-stamped high-load components. Other: truck underrun protection beams."
PH1800,PH,Martensitic (hot-formed),Press-hardened,~1800,~1500,~3,~99,520,20,Very Low,Baosteel,China,Hot-formed parts,PH1800,"Automobiles: ultra-high-strength PHS for maximum intrusion resistance—B-pillar upper, door ring segments, bumper/tunnel reinf.; often with tailored properties. Aircrafts: very heavy GSE structures only. Marine: interior safety parts (coated). Machinery: extreme-load hot-formed brackets. Other: rail crash elements."
TWIP950,TWIP,Austenitic Twinning,CR / HDG,~950,~480,~50,0,260,65,Excellent,Baosteel,China,"CR, HDG",TWIP950,"Automobiles: extreme-formability parts and energy absorbers (deep-drawn closures, complex crash boxes); limited adoption due to cost/density but excellent stretch-flange. Aircrafts: niche for complex-formed GSE parts. Marine: interior components needing very high ductility (coated to mitigate corrosion). Machinery: complex stampings with severe draw. Other: specialty appliances/safety devices."
DP600-UC,DP (CR),Ferrite + Martensite,"~0.10 C, 0.25 Si, 1.7 Mn",640–650,~400,~22,~20,240,~55,Good,Tata Steel,UK/EU,Cold-rolled coil,DP600-UC,"Automobiles – deep-drawn body panels, crash-reinforcement parts"
HCT600X,DP (CR),Ferrite + Martensite,EN 10338 spec,≥590,330–430,≥20,~15,230,~55,Good,Tata Steel,UK/EU,Cold-rolled metallic coat,HCT590X,"Automobiles – corrosion-protected body panels, structural reinforcements (GV-coated)"
DP800-UC,DP (CR),Ferrite + Martensite,Similar to DP600,~800,~550,~16,~25,280,~45,Fair,Tata Steel,UK/EU,Cold-rolled coil,DP800-UC,"Automobiles – B-pillars, crash beams, high-strength structural components"
CR DP800,DP (CR),Ferrite + Martensite,VDA spec coated,780–900,440–550,14,~25,280,~45,Fair,Tata Steel,EU,GI/GA coated CR & GA,CR DP800,"Automobiles – galvanized crash components, high-strength body parts (VDA239)"
HR FB590-UC,FB (HR),Ferrite + Bainite,Hot-rolled ferrite-bainite,~590,~350,~25,~10,210,~60,Excellent,Tata Steel,EU,Hot-rolled coils,HR FB590-UC,"Automobiles – chassis frames, suspension arms, control arms"
HR XPF800-UC,CP (HR),Ferrite + Complex Phases,Hot-rolled CP,~800,~580,~18,~35,300,~45,Fair,Tata Steel,NL,Hot-rolled coils,HR XPF800-UC,"Machinery – heavy-duty structural frames, girders, load-bearing parts"
HR XPF1000-UC,CP (HR),Ferrite + Complex Phases,Hot-rolled CP,~1000,~760,~15,~40,330,~40,Fair,Tata Steel,NL,Hot-rolled coils,HR XPF1000-UC,"Machinery – extra high-strength structural beams, industrial frames"
HR CP800-UC,CP (HR),Ferrite + Complex Phases,Hot-rolled CP,≥760,≥660,~17,~35,300,~45,Fair,Tata Steel,EU,Hot-rolled coils,HR CP800-UC,"Automobiles – fatigue-prone suspension components, high-load frames"
22MnB5,PHS,Martensitic (hot-formed),Boron-alloyed,≥1500,≥980,~5,~95,470,~25,Very Low,Tata Steel,EU,Hot-formed parts,22MnB5,"Automobiles – ultra-high strength safety components (door intrusion beams, bumper beams, A/B pillars)"
TWIP-EX,TWIP,Austenitic with Twins,High Mn-Al stabilized,950–1050,~500,40–50,0,260,~60,Excellent,Tata Steel,India,CR metallic coated,TWIP950-EX,"Automobiles – highly formable body parts, complex crash energy absorbers"
JSC590Y,DP (CR),Ferrite + Martensite,"~0.1%C, 1.5%Mn, Si",≥590,380–440,≥19,~15–20,230,~50–60,Good,JSW Steel,India,"CR, galvanized (GA)",JSC590Y,"Automobiles – door panels, hoods, crash-energy absorbing structures"
JSC780Y,DP (CR),Ferrite + Martensite,"~0.12%C, 1.8%Mn, Si",≥780,540–590,≥14,~25,270,~40–50,Fair,JSW Steel,India,"CR, GA",JSC780Y,"Automobiles – B-pillars, side impact beams, high-strength crash-critical reinforcements"
JSC980Y,DP (CR),Ferrite + Martensite,"~0.15%C, 2.2%Mn, Si",≥980,660–700,≥11,~35,320,~30–40,Limited,JSW Steel,India,"CR, GA",JSC980Y,"Automobiles – safety cage members, bumper beams, ultra-high strength intrusion zones"
JSC980YL,DP (CR),Ferrite + Martensite,"High Mn + Si, optimized",~980,~700,≥11,~40+,330,~30,Limited,JSW Steel,India,"CR, GA",JSC980YL,"Automobiles – tailored B-pillars, crash beams requiring improved formability"
JSC340W/P,HSLA/IF,Ferrite,"Low-C, micro-alloyed",~340,~180–220,≥34,~0,120,~60,Excellent,JSW Steel,India,CRCA sheet (HC340),JSC340W / P,"Automobiles – deep-drawn exterior skin panels, fenders, roofs"
JSC390W/P,HSLA/IF,Ferrite,"Low-C, micro-alloyed",~390,~235–270,≥30,~0,140,~60,Excellent,JSW Steel,India,CRCA sheet (HC390),JSC390W / P,"Automobiles – medium-strength inner panels, floor panels, wheel housings"
JSC440W/P,HSLA/IF,Ferrite,"Low-C, Nb-Ti micro-alloy",~440,~275–310,≥28,~0,160,~60,Good,JSW Steel,India,CRCA sheet (HC440),JSC440W / P,"Automobiles – stronger inner panels, structural reinforcements, cold-formed brackets"
